case_number,total_matches,num_files,file_paths
CR-25-698278-A,3,1,out/2025/2025-698278_20251120_062303.json
CR-25-698295-A,2,1,out/2025/2025-698295_20251120_062519.json
CR-25-698352-A,2,1,out/2025/2025-698352_20251120_064642.json
CR-25-698404-A,3,1,out/2025/2025-698404_20251120_065604.json
CR-25-698424-A,6,1,out/2025/2025-698424_20251120_070406.json
CR-25-698434-A,3,1,out/2025/2025-698434_20251120_071024.json
CR-25-698437-A,3,1,out/2025/2025-698437_20251120_071009.json
CR-25-698468-A,3,1,out/2025/2025-698468_20251120_071457.json
CR-25-698474-A,3,1,out/2025/2025-698474_20251120_071655.json
CR-25-698483-A,3,1,out/2025/2025-698483_20251120_071657.json
CR-25-698529-A,3,1,out/2025/2025-698529_20251120_072415.json
CR-25-698562-A,3,1,out/2025/2025-698562_20251120_072934.json
CR-25-698566-A,6,1,out/2025/2025-698566_20251120_072740.json
CR-25-698588-A,3,1,out/2025/2025-698588_20251120_073640.json
CR-25-698600-A,3,1,out/2025/2025-698600_20251120_073725.json
CR-25-698602-A,3,1,out/2025/2025-698602_20251120_073535.json
CR-25-698606-A,9,3,out/2025/2025-698606_20251120_073616.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-698606_20251120_073535.json;out/obstructing_cases/out/2025/2025-698606_20251120_073616.json
CR-25-698660-A,2,1,out/2025/2025-698660_20251120_074801.json
CR-25-698663-A,6,1,out/2025/2025-698663_20251120_075137.json
CR-25-698673-A,3,1,out/2025/2025-698673_20251120_075611.json
CR-25-698688-A,3,1,out/2025/2025-698688_20251120_075624.json
CR-25-698724-A,3,1,out/2025/2025-698724_20251120_080522.json
CR-25-698729-A,3,1,out/2025/2025-698729_20251120_080602.json
CR-25-698767-A,6,1,out/2025/2025-698767_20251120_081243.json
CR-25-698768-A,3,1,out/2025/2025-698768_20251120_081228.json
CR-25-698784-A,3,1,out/2025/2025-698784_20251120_081327.json
CR-25-698802-A,6,1,out/2025/2025-698802_20251120_081945.json
CR-25-698838-A,3,1,out/2025/2025-698838_20251120_082909.json
