case_number,total_matches,num_files,file_paths
CR-23-677533-A,3,1,out/2023/2023-677533_20251116_095433.json
CR-23-678035-A,3,1,out/2023/2023-678035_20251116_144530.json
CR-23-678818-A,3,1,out/2023/2023-678818_20251116_205315.json
CR-23-679113-A,3,1,out/2023/2023-679113_20251116_082028.json
CR-23-679695-A,2,1,out/2023/2023-679695_20251116_074033.json
CR-23-680290-A,18,4,out/capias_matches_allcaps.csv;out/capias_matches_allcaps.csv.bak.20260216160833;out/capias_matches_allcaps.csv.bak.20260216212509;out/capias_matches_allcaps.csv.dedup.csv
CR-23-680502-A,2,1,out/2023/2023-680502_20251116_083200.json
CR-23-681163-A,3,1,out/2023/2023-681163_20251116_081908.json
CR-23-681734-A,3,1,out/2023/2023-681734_20251116_081425.json
CR-23-681809-A,3,1,out/2023/2023-681809_20251116_082510.json
CR-23-681966-A,3,1,out/2023/2023-681966_20251117_133053.json
CR-23-683934-A,8,2,out/2023/2023-683934_20251118_144342.json;out/obstructing_cases/out/2023/2023-683934_20251118_144342.json
CR-23-684285-A,3,1,out/2023/2023-684285_20251116_074221.json
CR-23-684826-A,62,26,out/2023/2023-684826_20251227_041831.json;out/2023/2023-684826_20260101_124157.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_121024.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_121405.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_122043.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_125347.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_021410.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_053214.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_053913.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_054025.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_204241.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103001.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103207.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103402.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251128_091158.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251219_053849.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130005.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130126.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130248.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130409.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130532.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_164149.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_172438.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_172751.json;out/obstructing_cases/out/2023/2023-684826_20251227_041831.json;out/obstructing_cases/out/2023/2023-684826_20260101_124157.json
CR-23-685251-A,2,1,out/2023/2023-685251_20251116_084132.json
